scenario,round,policy,seconds,connections,requests,unaligned_range_requests,server_body_bytes,validated_bytes
response100,8,pooled_batched,0.319,4,7,0,16777216,16777216
response100,8,pooled_batch8,0.317,5,6,0,16777216,16777216
response100,8,pooled_batch16,0.224,4,5,0,16777216,16777216
response100,8,unpooled,0.540,16,16,0,16777216,16777216
response100,9,batched,0.340,7,7,0,16777216,16777216
response100,9,pooled_batched,0.325,4,7,0,16777216,16777216
response100,9,pooled_batch8,0.328,4,6,0,16777216,16777216
response100,9,pooled_batch16,0.229,5,5,0,16777216,16777216
response100,9,unpooled,0.540,16,16,0,16777216,16777216
response100,9,pooled,0.533,4,16,0,16777216,16777216
response100,10,pooled_batched,0.336,4,7,0,16777216,16777216
response100,10,pooled_batch8,0.323,4,6,0,16777216,16777216
response100,10,pooled_batch16,0.231,4,5,0,16777216,16777216
response100,10,unpooled,0.543,16,16,0,16777216,16777216
response100,10,pooled,0.535,4,16,0,16777216,16777216
response100,10,batched,0.332,7,7,0,16777216,16777216
close_setup100,1,unpooled,0.539,16,16,0,16777216,16777216
close_setup100,1,pooled,0.543,16,16,0,16777216,16777216
close_setup100,1,batched,0.331,7,7,0,16777216,16777216
close_setup100,1,pooled_batched,0.330,7,7,0,16777216,16777216
close_setup100,1,pooled_batch8,0.327,6,6,0,16777216,16777216
close_setup100,1,pooled_batch16,0.225,5,5,0,16777216,16777216
close_setup100,2,pooled,0.536,16,16,0,16777216,16777216
close_setup100,2,batched,0.329,7,7,0,16777216,16777216
close_setup100,2,pooled_batched,0.332,7,7,0,16777216,16777216
close_setup100,2,pooled_batch8,0.324,6,6,0,16777216,16777216
close_setup100,2,pooled_batch16,0.233,5,5,0,16777216,16777216
close_setup100,2,unpooled,0.539,16,16,0,16777216,16777216
close_setup100,3,batched,0.334,7,7,0,16777216,16777216
close_setup100,3,pooled_batched,0.327,7,7,0,16777216,16777216
close_setup100,3,pooled_batch8,0.327,6,6,0,16777216,16777216
close_setup100,3,pooled_batch16,0.228,5,5,0,16777216,16777216
close_setup100,3,unpooled,0.545,16,16,0,16777216,16777216
close_setup100,3,pooled,0.533,16,16,0,16777216,16777216
close_setup100,4,pooled_batched,0.331,7,7,0,16777216,16777216
close_setup100,4,pooled_batch8,0.324,6,6,0,16777216,16777216
close_setup100,4,pooled_batch16,0.223,5,5,0,16777216,16777216
close_setup100,4,unpooled,0.540,16,16,0,16777216,16777216
close_setup100,4,pooled,0.536,16,16,0,16777216,16777216
close_setup100,4,batched,0.333,8,8,0,16777216,16777216
close_setup100,5,pooled_batch8,0.323,6,6,0,16777216,16777216
close_setup100,5,pooled_batch16,0.225,5,5,0,16777216,16777216
close_setup100,5,unpooled,0.539,16,16,0,16777216,16777216
close_setup100,5,pooled,0.545,16,16,0,16777216,16777216
close_setup100,5,batched,0.330,7,7,0,16777216,16777216
close_setup100,5,pooled_batched,0.326,8,8,0,16777216,16777216
close_setup100,6,pooled_batch16,0.230,5,5,0,16777216,16777216
close_setup100,6,unpooled,0.542,16,16,0,16777216,16777216
close_setup100,6,pooled,0.537,16,16,0,16777216,16777216
close_setup100,6,batched,0.335,7,7,0,16777216,16777216
close_setup100,6,pooled_batched,0.328,7,7,0,16777216,16777216
close_setup100,6,pooled_batch8,0.323,6,6,0,16777216,16777216
close_setup100,7,unpooled,0.536,16,16,0,16777216,16777216
close_setup100,7,pooled,0.537,16,16,0,16777216,16777216
close_setup100,7,batched,0.337,7,7,0,16777216,16777216
close_setup100,7,pooled_batched,0.331,7,7,0,16777216,16777216
close_setup100,7,pooled_batch8,0.327,6,6,0,16777216,16777216
close_setup100,7,pooled_batch16,0.229,5,5,0,16777216,16777216
close_setup100,8,pooled,0.544,16,16,0,16777216,16777216
close_setup100,8,batched,0.331,7,7,0,16777216,16777216
close_setup100,8,pooled_batched,0.329,7,7,0,16777216,16777216
close_setup100,8,pooled_batch8,0.325,6,6,0,16777216,16777216
close_setup100,8,pooled_batch16,0.225,5,5,0,16777216,16777216
close_setup100,8,unpooled,0.539,16,16,0,16777216,16777216
close_setup100,9,batched,0.331,7,7,0,16777216,16777216
close_setup100,9,pooled_batched,0.335,7,7,0,16777216,16777216
close_setup100,9,pooled_batch8,0.327,6,6,0,16777216,16777216
close_setup100,9,pooled_batch16,0.229,5,5,0,16777216,16777216
close_setup100,9,unpooled,0.529,16,16,0,16777216,16777216
close_setup100,9,pooled,0.532,16,16,0,16777216,16777216
close_setup100,10,pooled_batched,0.332,7,7,0,16777216,16777216
close_setup100,10,pooled_batch8,0.323,6,6,0,16777216,16777216
close_setup100,10,pooled_batch16,0.225,5,5,0,16777216,16777216
close_setup100,10,unpooled,0.537,16,16,0,16777216,16777216
close_setup100,10,pooled,0.536,16,16,0,16777216,16777216
close_setup100,10,batched,0.328,7,7,0,16777216,16777216
disconnect_weak,1,unpooled,0.164,17,17,0,17301504,16777216
disconnect_weak,1,pooled,0.162,5,17,0,17301504,16777216
disconnect_weak,1,batched,0.109,8,8,0,17301504,16777216
disconnect_weak,1,pooled_batched,0.098,4,8,0,17301504,16777216
disconnect_weak,1,pooled_batch8,0.102,4,7,0,17301504,16777216
disconnect_weak,1,pooled_batch16,0.126,5,10,0,17301504,16777216
disconnect_weak,2,pooled,0.153,5,17,0,17301504,16777216
disconnect_weak,2,batched,0.103,8,8,0,17301504,16777216
disconnect_weak,2,pooled_batched,0.109,4,8,0,17301504,16777216
disconnect_weak,2,pooled_batch8,0.099,4,7,0,17301504,16777216
disconnect_weak,2,pooled_batch16,0.127,5,10,0,17301504,16777216
disconnect_weak,2,unpooled,0.162,17,17,0,17301504,16777216
disconnect_weak,3,batched,0.110,8,8,0,17301504,16777216
disconnect_weak,3,pooled_batched,0.097,4,8,0,17301504,16777216
disconnect_weak,3,pooled_batch8,0.105,4,7,0,17301504,16777216
disconnect_weak,3,pooled_batch16,0.135,5,10,0,17301504,16777216
disconnect_weak,3,unpooled,0.164,17,17,0,17301504,16777216
disconnect_weak,3,pooled,0.154,5,17,0,17301504,16777216
disconnect_weak,4,pooled_batched,0.101,5,8,0,17301504,16777216
disconnect_weak,4,pooled_batch8,0.100,5,7,0,17301504,16777216
disconnect_weak,4,pooled_batch16,0.170,5,10,0,17301504,16777216
disconnect_weak,4,unpooled,0.194,17,17,0,17301504,16777216
disconnect_weak,4,pooled,0.151,5,17,0,17301504,16777216
disconnect_weak,4,batched,0.103,8,8,0,17301504,16777216
disconnect_weak,5,pooled_batch8,0.095,4,7,0,17301504,16777216
disconnect_weak,5,pooled_batch16,0.126,5,10,0,17301504,16777216
disconnect_weak,5,unpooled,0.160,17,17,0,17301504,16777216
disconnect_weak,5,pooled,0.155,5,17,0,17301504,16777216
disconnect_weak,5,batched,0.112,8,8,0,17301504,16777216
disconnect_weak,5,pooled_batched,0.098,4,8,0,17301504,16777216
disconnect_weak,6,pooled_batch16,0.131,5,10,0,17301504,16777216
disconnect_weak,6,unpooled,0.161,17,17,0,17301504,16777216
disconnect_weak,6,pooled,0.156,5,17,0,17301504,16777216
disconnect_weak,6,batched,0.105,8,8,0,17301504,16777216
disconnect_weak,6,pooled_batched,0.098,4,8,0,17301504,16777216
disconnect_weak,6,pooled_batch8,0.101,4,8,0,17301504,16777216
disconnect_weak,7,unpooled,0.159,17,17,0,17301504,16777216
disconnect_weak,7,pooled,0.152,5,17,0,17301504,16777216
disconnect_weak,7,batched,0.104,8,8,0,17301504,16777216
disconnect_weak,7,pooled_batched,0.100,4,8,0,17301504,16777216
disconnect_weak,7,pooled_batch8,0.100,4,7,0,17301504,16777216
disconnect_weak,7,pooled_batch16,0.133,5,10,0,17301504,16777216
disconnect_weak,8,pooled,0.154,5,17,0,17301504,16777216
disconnect_weak,8,batched,0.107,8,8,0,17301504,16777216
disconnect_weak,8,pooled_batched,0.103,5,8,0,17301504,16777216
disconnect_weak,8,pooled_batch8,0.103,4,7,0,17301504,16777216
